filename,label
bmj_m1328 -- 331d1414ed0818e5c082e17220dafec4 -- Anna’s Archive.txt,low
IJCISIM_15.txt,low
j-phrp-2021-0100.txt,high
s10916-020-01645-z -- 89bf7fe814431095c86fba7b08eb0258 -- Anna’s Archive.txt,high
"1-2, 49, pages 91-96, 2020 apr 20 -- Springer Netherlands; Springer-Verlag; -- 9781112502002 -- a31f9d49076da152bf69c00fd6a83e08 -- Anna’s Archive.txt",
10408363_2020_1783198 -- bbf79a49af9683366a5786835d8f9409 -- Anna’s Archive.txt,
1368430220982068 -- cea51842e7b860961f47709dee091a54 -- Anna’s Archive.txt,
Coronavirus-Disease-COVID-19-–-Statistics-and-Research.txt,
Impact-Of-Covid-19-Pandemic-On-Education-System.txt,
The_COVID_19_Pandemic.txt,
j_coi_2021_07_003 -- 5f87e346ddff9b197f91a65aa37efb42 -- Anna’s Archive.txt,
j_tmaid_2020_101607 -- 0c7d9d815a534e1b91a312ddd9770650 -- Anna’s Archive.txt,
s10943-020-01041-4 -- 4a4db04e4cfbd613dbb29fc25249d1a3 -- Anna’s Archive.txt,
s11481-020-09974-z -- b9a0f2296b73ec8b57b35480f778d101 -- Anna’s Archive.txt,
tmi_13383 -- ceb67e687297b3afddb9aa4245477600 -- Anna’s Archive.txt,
