filename,risk_level,study_type,region,country
"1-2, 49, pages 91-96, 2020 apr 20 -- Springer Netherlands; Springer-Verlag; -- 9781112502002 -- a31f9d49076da152bf69c00fd6a83e08 -- Anna’s Archive.txt",high,other,north america,canada
10.31681-jetol.907757-1677427.txt,high,modeling,global,indonesia
10408363_2020_1783198 -- bbf79a49af9683366a5786835d8f9409 -- Anna’s Archive.txt,high,modeling,asia,china
105161.txt,high,diagnostic,asia,china
1368430220982068 -- cea51842e7b860961f47709dee091a54 -- Anna’s Archive.txt,high,diagnostic,asia,china
1626-5013-1-PB.txt,high,vaccine,global,indonesia
2020.05.22.111294v3.full.txt,high,modeling,asia,china
250_271.txt,high,modeling,asia,china
A Worldwide Journey through Distance Education.txt,high,modeling,global,poland
A look into the future of the COVID-19 pandemic in Europe.txt,high,modeling,global,austria
APA-109-1323.txt,high,modeling,global,malaysia
A_Literature_Review_of_E_Learning_and_E.txt,high,other,asia,china
COVID-19 pandemic   an African perspective.txt,high,modeling,africa,south africa
Children and Covid-19 Pandemic.txt,high,modeling,asia,japan
Coronavirus-Disease-COVID-19-–-Statistics-and-Research.txt,high,modeling,asia,china
Covid19Pandemic.txt,high,vaccine,asia,india
Covid19pandemicandonlinelearningthechallengesandopportunities.txt,high,modeling,asia,china
Developing_a_web_based_application_for_s.txt,high,other,global,indonesia
ED606496.txt,high,other,global,pakistan
EJ1263557.txt,high,other,asia,china
EJ1344460.txt,high,vaccine,global,kuwait
ENGver187Heitzman_PsychiatrPol2020v54i2.txt,high,diagnostic,asia,china
EconomicImpactofCovid-19Pandemic.txt,high,modeling,asia,china
Effect of COVID-19 on Dental Education and Practice in France.txt,high,other,europe,france
Eur J Clin Investigation - 2022 - Ioannidis - The end of the COVID‐19 pandemic.txt,high,modeling,global,estonia
IJCISIM_15.txt,high,modeling,asia,china
INM-29-315.txt,high,other,asia,china
Impact-Of-Covid-19-Pandemic-On-Education-System.txt,medium,modeling,asia,india
ImpactofCOVID19onhighereducation_Shazia.txt,high,modeling,asia,china
Internet Technology Letters - 2020 - Pranggono - COVID‐19 pandemic cybersecurity issues.txt,high,modeling,north america,canada
OMJ-35-02-2000045.txt,high,modeling,global,global
OVE-INFOS-42-ENGLISH.txt,high,other,europe,france
PAHOEIHISCOVID-19200007_eng.txt,high,modeling,north america,canada
PIIS014067362202092X.txt,high,modeling,north america,canada
PJMS-36-S6.txt,high,vaccine,global,pakistan
Promoting Physical Activity during School Closures.txt,high,modeling,europe,italy
Religion and the COVID-19 pandemic.txt,high,modeling,global,global
TBED-9999-0.txt,high,modeling,asia,china
TheImpactoftheCOVID19PandemiconFirmPerformance.txt,high,modeling,asia,china
The_COVID_19_Pandemic.txt,high,modeling,global,indonesia
ThefutureHighEducationDistanceLearninginCanadatheUnitedStatesandFrance.txt,high,modeling,europe,france
acm-publish-ahead-of-print-10.1097.acm.0000000000003402.txt,high,modeling,global,global
bjs11627.txt,high,other,europe,spain
bmj.m1557.full.txt,high,modeling,asia,china
bmj_m1328 -- 331d1414ed0818e5c082e17220dafec4 -- Anna’s Archive.txt,high,modeling,asia,china
challenges-in-learning-english-online-during-the-covid-19-2lwmq0r2.txt,high,modeling,global,indonesia
coc-publish-ahead-of-print-10.1097.coc.0000000000000712.txt,high,diagnostic,asia,china
